book_title,author
Atonement,Ian McEwan
Alice in Wonderland,Jane Carruth
One Hundred Years of Solitude,Gabriel García Márquez
Catch-22,Joseph Heller
Lord of the Flies,William Golding
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood
The Picture of Dorian Gray,Oscar Wilde
The Old Man and the Sea,Ernest Hemingway
A Christmas Carol,Charles Dickens
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett
The Secret Garden,Frances Hodgson Burnett
Rebecca,Daphne du Maurier
All Quiet on the Western Front,Erich Maria Remarque
The Great Gatsby,F. Scott Fitzgerald
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling
The Little Prince,Antoine de Saint-Exupéry
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling
Animal Farm,George Orwell
The Catcher in the Rye,J.D. Salinger
Gone with the Wind,Margaret Mitchell
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams
Wuthering Heights,Emily Brontë
Jane Eyre,Charlotte Brontë
The Lord of the Rings,J.R.R. Tolkien
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling
To Kill a Mockingbird,Harper Lee
1984,George Orwell
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle
The Time Machine,H.G. Wells
Treasure Island,Robert Louis Stevenson
"Moby-Dick or, The Whale",Herman Melville
Crime and Punishment,Fyodor Dostoevsky
The Count of Monte Cristo,Alexandre Dumas
Dracula,Bram Stoker
Great Expectations,Charles Dickens
Persuasion,Jane Austen
Emma,Jane Austen
Sense and Sensibility,Jane Austen
Pride and Prejudice,Jane Austen
